"","B-Cell Progenitors","B-cells (Plasma cell)","CD14 Monocytes","CD16 Monocytes","CD4 Memory T-Cells ","CD4 Naive and regulatory T-Cells","CD8 Memory T-Cells","CD8 Naive T-cClls","Conventional Dendritic Cells (cDC)","Early Erythrocytes","Early Erythroid Precursors","Hematopoietic stem and progenitor cells (HSPC)","Late Erythrocytes","Late Erythroid Precursors","Mature B-Cells","Monocyte Progenitor Cells","NK Cells","Plasmacytoid dendritic cells (pDC)","Unknown","Unknown1","Unknown3","Unknown4","Unknown5","Unknown6","Unknown7","Unknown8"
"0",0,0,0,0,17,53,1,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,81,94,0,0
"1",0,0,0,0,50,1,19,1,0,0,0,0,0,0,0,0,0,0,1,0,0,11,34,0,0,0
"2",0,0,0,0,2,0,53,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,3,0,30,0
"3",0,0,68,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,20,1,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,1,0,46,0,0,0,8,0,0,0,0,0,0,0
"5",0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,38,0,0
"6",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,34,0,1,0,1,0,0,0,17,0
"7",0,0,0,0,0,0,0,0,0,5,2,0,0,45,0,0,0,0,11,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,4,0,0,25,0,0,0,0,0,3,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,19,7,0,1,0,0,0,0,6,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,6,1,0,0,0,0,0,0
"11",0,0,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0
"12",0,0,0,0,2,0,0,0,0,0,0,0,14,0,1,0,0,0,1,0,0,1,1,0,0,0
"13",16,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,2,1,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,1,0,0,2,0,1,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,0,7,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0
"16",0,0,2,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"17",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
