"","B-Cell Progenitors","B-cells (Plasma cell)","CD14 Monocytes","CD16 Monocytes","CD4 Memory T-Cells ","CD4 Naive and regulatory T-Cells","CD8 Memory T-Cells","CD8 Naive T-cClls","Conventional Dendritic Cells (cDC)","Early Erythrocytes","Early Erythroid Precursors","Hematopoietic stem and progenitor cells (HSPC)","Late Erythrocytes","Late Erythroid Precursors","Mature B-Cells","Monocyte Progenitor Cells","NK Cells","Plasmacytoid dendritic cells (pDC)","Unknown"
"0",0,0,0,0,1,169,0,0,0,0,0,0,0,0,0,0,0,0,81
"1",0,0,0,0,34,6,1,0,0,0,0,0,0,0,0,0,0,0,76
"2",0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,45
"3",0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
"4",0,0,0,0,0,0,0,0,0,0,0,0,1,0,49,0,0,0,5
"5",0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,40
"6",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,33,0,19
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,7
"8",0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,1,0,4
"9",0,0,0,0,0,0,0,0,0,0,30,0,0,1,0,0,0,0,2
"10",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,6
"11",0,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"12",0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,5
"13",19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2
"14",0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,5
"15",0,0,0,1,0,0,0,0,0,7,0,0,1,0,0,0,0,0,5
"16",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3
"17",0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"20",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
