"","B-Cell Progenitors","B-cells (Plasma cell)","CD14 Monocytes","CD16 Monocytes","CD4 Memory T-Cells ","CD4 Naive and regulatory T-Cells","CD8 Memory T-Cells","CD8 Naive T-cClls","Conventional Dendritic Cells (cDC)","Early Erythrocytes","Early Erythroid Precursors","Hematopoietic stem and progenitor cells (HSPC)","Late Erythrocytes","Late Erythroid Precursors","Mature B-Cells","Monocyte Progenitor Cells","NK Cells","Plasmacytoid dendritic cells (pDC)"
"0",0,0,0,0,18,218,0,14,0,1,0,0,0,0,0,0,0,0
"1",0,0,0,0,83,16,16,2,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,5,1,86,0,0,0,0,0,0,0,0,0,4,0
"3",0,0,90,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
"4",1,0,0,0,0,1,0,0,0,0,0,0,1,0,52,0,0,0
"5",0,0,0,0,2,22,0,31,0,0,0,0,0,0,0,0,0,0
"6",0,0,1,0,0,2,9,0,0,0,0,0,0,0,0,0,43,0
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,2,0,0,30,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,32,1,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,16,0,0
"11",0,0,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,1,3,0,0,0,0,0,0,15,0,1,0,0,0
"13",21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"14",0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,1,0,0
"15",0,0,0,1,0,0,0,0,0,12,0,0,1,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
"17",0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"20",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"21",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
