"","B-Cell Progenitors","B-cells (Plasma cell)","CD14 Monocytes","CD16 Monocytes","CD4 Memory T-Cells ","CD4 Naive and regulatory T-Cells","CD8 Memory T-Cells","CD8 Naive T-cClls","Conventional Dendritic Cells (cDC)","Early Erythrocytes","Early Erythroid Precursors","Hematopoietic stem and progenitor cells (HSPC)","Late Erythrocytes","Late Erythroid Precursors","Mature B-Cells","Monocyte Progenitor Cells","NK Cells","Plasmacytoid dendritic cells (pDC)"
"0",0,0,0,0,76,157,0,18,0,0,0,0,0,0,0,0,0,0
"1",0,0,0,1,107,3,4,2,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,10,1,81,0,0,0,0,0,0,0,0,0,4,0
"3",0,0,83,2,0,0,0,0,5,0,1,0,1,0,0,1,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,2,0,53,0,0,0
"5",0,0,0,0,5,16,0,34,0,0,0,0,0,0,0,0,0,0
"6",0,0,1,0,0,0,11,0,0,0,0,0,1,0,0,0,42,0
"7",0,0,0,0,0,0,0,0,0,0,2,0,0,61,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,3,0,0,29,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,12,0,0
"11",0,0,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,4,1,0,1,0,0,0,0,13,0,1,0,0,0
"13",19,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
"14",0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,4,0,0
"15",0,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
"17",1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"20",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"21",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
