"","B-Cell Progenitors","B-cells (Plasma cell)","CD14 Monocytes","CD16 Monocytes","CD4 Memory T-Cells ","CD4 Naive and regulatory T-Cells","CD8 Memory T-Cells","CD8 Naive T-cClls","Conventional Dendritic Cells (cDC)","Early Erythrocytes","Early Erythroid Precursors","Hematopoietic stem and progenitor cells (HSPC)","Late Erythrocytes","Late Erythroid Precursors","Mature B-Cells","Monocyte Progenitor Cells","NK Cells","Plasmacytoid dendritic cells (pDC)","Unknown"
"0",0,0,0,0,6,64,0,1,0,0,0,0,0,0,0,0,0,0,180
"1",0,0,0,1,17,2,1,0,0,0,0,0,0,0,0,0,0,0,96
"2",0,0,0,0,2,1,24,0,0,0,0,0,0,0,0,0,0,0,69
"3",0,0,63,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29
"4",1,0,0,0,0,0,0,0,0,0,0,0,1,0,44,0,0,0,9
"5",0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,46
"6",0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,15,0,36
"7",0,0,0,0,0,0,0,0,0,0,1,0,0,56,0,0,0,0,6
"8",0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,14
"9",0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,3
"10",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,9
"11",0,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"12",0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0,0,6
"13",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10
"14",0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,5,0,0,7
"15",0,0,0,0,0,0,0,0,0,4,0,0,2,1,0,0,0,0,7
"16",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4
"17",0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
"20",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"21",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
