"V1",""
"Mature B-Cells","Train"
"Conventional Dendritic Cells (cDC)","Train"
"CD16 Monocytes","Train"
"CD4 Naive and regulatory T-Cells","Train"
"CD14 Monocytes","Train"
"CD4 Naive and regulatory T-Cells","Train"
"CD4 Naive and regulatory T-Cells","Train"
"Conventional Dendritic Cells (cDC)","Train"
"CD8 Naive T-cClls","Train"
"B-Cell Progenitors","Train"
"Monocyte Progenitor Cells","Train"
"CD4 Memory T-Cells ","Train"
"Early Erythroid Precursors","Train"
"Late Erythrocytes","Train"
"CD4 Naive and regulatory T-Cells","Train"
"CD4 Naive and regulatory T-Cells","Train"
"Late Erythrocytes","Train"
"CD8 Memory T-Cells","Train"
"CD4 Naive and regulatory T-Cells","Train"
"CD4 Naive and regulatory T-Cells","Train"
"B-cells (Plasma cell)","Train"
"CD8 Memory T-Cells","Train"
"Late Erythrocytes","Train"
"CD8 Memory T-Cells","Train"
"Mature B-Cells","Train"
"Mature B-Cells","Train"
"CD4 Naive and regulatory T-Cells","Train"
"CD4 Naive and regulatory T-Cells","Train"
"Early Erythroid Precursors","Train"
"NK Cells","Train"
"Conventional Dendritic Cells (cDC)","Train"
"CD8 Memory T-Cells","Train"
"CD4 Naive and regulatory T-Cells","Train"
"Hematopoietic stem and progenitor cells (HSPC)","Train"
"Mature B-Cells","Train"
"CD4 Naive and regulatory T-Cells","Train"
"CD8 Memory T-Cells","Train"
"CD4 Naive and regulatory T-Cells","Train"
"CD8 Naive T-cClls","Train"
"CD16 Monocytes","Train"
"CD8 Naive T-cClls","Train"
"CD8 Naive T-cClls","Train"
"Mature B-Cells","Train"
"CD8 Memory T-Cells","Train"
"CD4 Naive and regulatory T-Cells","Train"
"CD4 Memory T-Cells ","Train"
"CD4 Memory T-Cells ","Train"
"Late Erythroid Precursors","Train"
"CD4 Memory T-Cells ","Train"
"Plasmacytoid dendritic cells (pDC)","Train"
"Late Erythrocytes","Train"
"Mature B-Cells","Train"
"CD8 Memory T-Cells","Train"
"Mature B-Cells","Train"
"CD4 Memory T-Cells ","Train"
"CD4 Naive and regulatory T-Cells","Train"
"Late Erythrocytes","Train"
"CD14 Monocytes","Train"
"CD14 Monocytes","Train"
"CD4 Naive and regulatory T-Cells","Train"
"Conventional Dendritic Cells (cDC)","Train"
"CD8 Memory T-Cells","Train"
"CD4 Naive and regulatory T-Cells","Train"
"Early Erythrocytes","Train"
"CD8 Memory T-Cells","Train"
"CD4 Naive and regulatory T-Cells","Train"
"CD4 Naive and regulatory T-Cells","Train"
"CD8 Memory T-Cells","Train"
"Conventional Dendritic Cells (cDC)","Train"
"CD8 Memory T-Cells","Train"
"CD16 Monocytes","Train"
"CD8 Memory T-Cells","Train"
"CD4 Memory T-Cells ","Train"
"CD4 Naive and regulatory T-Cells","Train"
"CD4 Naive and regulatory T-Cells","Train"
"CD14 Monocytes","Train"
"CD8 Naive T-cClls","Train"
"Late Erythrocytes","Train"
"NK Cells","Train"
"Hematopoietic stem and progenitor cells (HSPC)","Train"
"CD4 Memory T-Cells ","Train"
"Early Erythroid Precursors","Train"
"CD8 Memory T-Cells","Train"
"CD4 Naive and regulatory T-Cells","Train"
"CD4 Memory T-Cells ","Train"
"CD14 Monocytes","Train"
"CD4 Naive and regulatory T-Cells","Train"
"CD8 Memory T-Cells","Train"
"Late Erythrocytes","Train"
"CD4 Naive and regulatory T-Cells","Train"
"CD14 Monocytes","Train"
"CD4 Memory T-Cells ","Train"
"CD4 Memory T-Cells ","Train"
"CD4 Naive and regulatory T-Cells","Train"
"Conventional Dendritic Cells (cDC)","Train"
"CD4 Memory T-Cells ","Train"
"Plasmacytoid dendritic cells (pDC)","Train"
"CD8 Memory T-Cells","Train"
"Hematopoietic stem and progenitor cells (HSPC)","Train"
"Late Erythroid Precursors","Train"
"Early Erythrocytes","Train"
"CD4 Naive and regulatory T-Cells","Train"
"B-Cell Progenitors","Train"
"Mature B-Cells","Train"
"Late Erythrocytes","Train"
"CD16 Monocytes","Train"
"CD14 Monocytes","Train"
"CD14 Monocytes","Train"
"CD14 Monocytes","Train"
"CD8 Memory T-Cells","Train"
"CD4 Naive and regulatory T-Cells","Train"
"CD4 Naive and regulatory T-Cells","Train"
"Late Erythroid Precursors","Train"
"CD8 Memory T-Cells","Train"
"CD8 Memory T-Cells","Train"
"Late Erythroid Precursors","Train"
"CD4 Memory T-Cells ","Train"
"Hematopoietic stem and progenitor cells (HSPC)","Train"
"CD4 Memory T-Cells ","Train"
"B-Cell Progenitors","Train"
"Late Erythrocytes","Train"
"CD14 Monocytes","Train"
"CD4 Memory T-Cells ","Train"
"CD16 Monocytes","Train"
"CD8 Memory T-Cells","Train"
"NK Cells","Train"
"CD14 Monocytes","Train"
"Late Erythrocytes","Train"
"Early Erythroid Precursors","Train"
"Mature B-Cells","Train"
"CD4 Memory T-Cells ","Train"
"CD8 Memory T-Cells","Train"
"Monocyte Progenitor Cells","Train"
"CD8 Naive T-cClls","Train"
"Late Erythrocytes","Train"
"NK Cells","Train"
"CD4 Naive and regulatory T-Cells","Train"
"Mature B-Cells","Train"
"CD8 Memory T-Cells","Train"
"CD4 Memory T-Cells ","Train"
"Mature B-Cells","Train"
"CD4 Memory T-Cells ","Train"
"CD14 Monocytes","Train"
"CD8 Memory T-Cells","Train"
"CD4 Naive and regulatory T-Cells","Train"
"Early Erythroid Precursors","Train"
"CD16 Monocytes","Train"
"CD4 Naive and regulatory T-Cells","Train"
"Early Erythroid Precursors","Train"
"CD14 Monocytes","Train"
"CD4 Naive and regulatory T-Cells","Train"
"CD8 Memory T-Cells","Train"
"CD4 Memory T-Cells ","Train"
"CD4 Naive and regulatory T-Cells","Train"
"CD8 Memory T-Cells","Train"
"CD14 Monocytes","Train"
"CD4 Naive and regulatory T-Cells","Train"
"CD4 Memory T-Cells ","Train"
"CD14 Monocytes","Train"
"CD4 Naive and regulatory T-Cells","Train"
"CD4 Naive and regulatory T-Cells","Train"
"CD4 Naive and regulatory T-Cells","Train"
"Mature B-Cells","Train"
"CD4 Naive and regulatory T-Cells","Train"
"CD8 Memory T-Cells","Train"
"CD14 Monocytes","Train"
"CD14 Monocytes","Train"
"Mature B-Cells","Train"
"CD4 Naive and regulatory T-Cells","Train"
"CD4 Naive and regulatory T-Cells","Train"
"Monocyte Progenitor Cells","Train"
"Late Erythrocytes","Train"
"CD4 Naive and regulatory T-Cells","Train"
"Conventional Dendritic Cells (cDC)","Train"
"CD8 Memory T-Cells","Train"
"CD4 Memory T-Cells ","Train"
"B-cells (Plasma cell)","Train"
"Hematopoietic stem and progenitor cells (HSPC)","Train"
"CD14 Monocytes","Train"
"Late Erythrocytes","Train"
"Mature B-Cells","Train"
"CD4 Naive and regulatory T-Cells","Train"
"CD4 Naive and regulatory T-Cells","Train"
"CD4 Naive and regulatory T-Cells","Train"
"CD4 Naive and regulatory T-Cells","Train"
"CD4 Naive and regulatory T-Cells","Train"
"CD4 Naive and regulatory T-Cells","Train"
"CD8 Naive T-cClls","Train"
"CD8 Memory T-Cells","Train"
"CD4 Memory T-Cells ","Train"
"Late Erythrocytes","Train"
"CD4 Naive and regulatory T-Cells","Train"
"CD14 Monocytes","Train"
"CD4 Memory T-Cells ","Train"
"CD14 Monocytes","Train"
"CD14 Monocytes","Train"
"Hematopoietic stem and progenitor cells (HSPC)","Train"
"CD4 Naive and regulatory T-Cells","Train"
"Monocyte Progenitor Cells","Train"
"CD8 Memory T-Cells","Train"
"Conventional Dendritic Cells (cDC)","Train"
"CD4 Naive and regulatory T-Cells","Train"
"CD14 Monocytes","Train"
"CD4 Naive and regulatory T-Cells","Train"
"CD4 Memory T-Cells ","Train"
"CD14 Monocytes","Train"
"CD14 Monocytes","Train"
"CD14 Monocytes","Train"
"CD4 Naive and regulatory T-Cells","Train"
"CD14 Monocytes","Train"
"Hematopoietic stem and progenitor cells (HSPC)","Train"
"CD4 Naive and regulatory T-Cells","Train"
"CD4 Naive and regulatory T-Cells","Train"
"CD16 Monocytes","Train"
"CD4 Naive and regulatory T-Cells","Train"
"Late Erythrocytes","Train"
"CD4 Memory T-Cells ","Train"
"CD4 Naive and regulatory T-Cells","Train"
"CD14 Monocytes","Train"
"CD4 Memory T-Cells ","Train"
"Early Erythroid Precursors","Train"
"CD8 Naive T-cClls","Train"
"B-Cell Progenitors","Train"
"CD4 Memory T-Cells ","Train"
"CD4 Memory T-Cells ","Train"
"CD4 Naive and regulatory T-Cells","Train"
"CD4 Memory T-Cells ","Train"
"Late Erythroid Precursors","Train"
"CD4 Memory T-Cells ","Train"
"Early Erythrocytes","Train"
"Mature B-Cells","Train"
"CD14 Monocytes","Train"
"Monocyte Progenitor Cells","Train"
"CD14 Monocytes","Train"
"CD8 Memory T-Cells","Train"
"CD4 Naive and regulatory T-Cells","Train"
"NK Cells","Train"
"CD4 Naive and regulatory T-Cells","Train"
"CD14 Monocytes","Train"
"CD4 Naive and regulatory T-Cells","Train"
"Late Erythrocytes","Train"
"Hematopoietic stem and progenitor cells (HSPC)","Train"
"CD8 Naive T-cClls","Train"
"Mature B-Cells","Train"
"CD4 Naive and regulatory T-Cells","Train"
"NK Cells","Train"
"CD8 Naive T-cClls","Train"
"CD8 Naive T-cClls","Train"
"CD8 Memory T-Cells","Train"
"CD4 Naive and regulatory T-Cells","Train"
"CD8 Memory T-Cells","Train"
"Late Erythrocytes","Train"
"CD8 Memory T-Cells","Train"
"Mature B-Cells","Train"
"CD14 Monocytes","Train"
"Plasmacytoid dendritic cells (pDC)","Train"
"B-cells (Plasma cell)","Train"
"Late Erythrocytes","Train"
"CD4 Naive and regulatory T-Cells","Train"
"CD8 Memory T-Cells","Train"
"CD14 Monocytes","Train"
"Mature B-Cells","Train"
"CD14 Monocytes","Train"
"CD14 Monocytes","Train"
"NK Cells","Train"
"Late Erythroid Precursors","Train"
"Plasmacytoid dendritic cells (pDC)","Train"
"CD4 Naive and regulatory T-Cells","Train"
"CD4 Naive and regulatory T-Cells","Train"
"CD4 Memory T-Cells ","Train"
"CD4 Naive and regulatory T-Cells","Train"
"CD4 Memory T-Cells ","Train"
"Early Erythrocytes","Train"
"Late Erythrocytes","Train"
"CD4 Naive and regulatory T-Cells","Train"
"CD4 Memory T-Cells ","Train"
"CD4 Naive and regulatory T-Cells","Train"
"CD4 Naive and regulatory T-Cells","Train"
"Late Erythroid Precursors","Train"
"CD4 Memory T-Cells ","Train"
"CD4 Naive and regulatory T-Cells","Train"
"Late Erythroid Precursors","Train"
"CD8 Naive T-cClls","Train"
"Mature B-Cells","Train"
"CD8 Memory T-Cells","Train"
"CD4 Memory T-Cells ","Train"
"Late Erythrocytes","Train"
"CD4 Memory T-Cells ","Train"
"NK Cells","Train"
"Late Erythrocytes","Train"
"CD4 Naive and regulatory T-Cells","Train"
"CD4 Naive and regulatory T-Cells","Train"
"CD4 Memory T-Cells ","Train"
"CD16 Monocytes","Train"
"B-Cell Progenitors","Train"
"Early Erythroid Precursors","Train"
"CD14 Monocytes","Train"
"Late Erythrocytes","Train"
"CD4 Naive and regulatory T-Cells","Train"
"Mature B-Cells","Train"
"CD4 Memory T-Cells ","Train"
"Mature B-Cells","Train"
"Mature B-Cells","Train"
