,V1
0,Mature B-Cells
1,Conventional Dendritic Cells (cDC)
2,CD16 Monocytes
3,CD4 Naive and regulatory T-Cells
4,CD14 Monocytes
5,CD4 Naive and regulatory T-Cells
6,CD4 Naive and regulatory T-Cells
7,Conventional Dendritic Cells (cDC)
8,CD8 Naive T-cClls
9,B-Cell Progenitors
10,Monocyte Progenitor Cells
11,CD4 Memory T-Cells 
12,Early Erythroid Precursors
13,Late Erythrocytes
14,CD4 Naive and regulatory T-Cells
15,CD4 Naive and regulatory T-Cells
16,Late Erythrocytes
17,CD8 Memory T-Cells
18,CD4 Naive and regulatory T-Cells
19,CD4 Naive and regulatory T-Cells
20,B-cells (Plasma cell)
21,CD8 Memory T-Cells
22,Late Erythrocytes
23,CD8 Memory T-Cells
24,Mature B-Cells
25,Mature B-Cells
26,CD4 Naive and regulatory T-Cells
27,CD4 Naive and regulatory T-Cells
28,Early Erythroid Precursors
29,NK Cells
30,Conventional Dendritic Cells (cDC)
31,CD8 Memory T-Cells
32,CD4 Naive and regulatory T-Cells
33,Hematopoietic stem and progenitor cells (HSPC)
34,Mature B-Cells
35,CD4 Naive and regulatory T-Cells
36,CD8 Memory T-Cells
37,CD4 Naive and regulatory T-Cells
38,CD8 Naive T-cClls
39,CD16 Monocytes
40,CD8 Naive T-cClls
41,CD8 Naive T-cClls
42,Mature B-Cells
43,CD8 Memory T-Cells
44,CD4 Naive and regulatory T-Cells
45,CD4 Memory T-Cells 
46,CD4 Memory T-Cells 
47,Late Erythroid Precursors
48,CD4 Memory T-Cells 
49,Plasmacytoid dendritic cells (pDC)
50,Late Erythrocytes
51,Mature B-Cells
52,CD8 Memory T-Cells
53,Mature B-Cells
54,CD4 Memory T-Cells 
55,CD4 Naive and regulatory T-Cells
56,Late Erythrocytes
57,CD14 Monocytes
58,CD14 Monocytes
59,CD4 Naive and regulatory T-Cells
60,Conventional Dendritic Cells (cDC)
61,CD8 Memory T-Cells
62,CD4 Naive and regulatory T-Cells
63,Early Erythrocytes
64,CD8 Memory T-Cells
65,CD4 Naive and regulatory T-Cells
66,CD4 Naive and regulatory T-Cells
67,CD8 Memory T-Cells
68,Conventional Dendritic Cells (cDC)
69,CD8 Memory T-Cells
70,CD16 Monocytes
71,CD8 Memory T-Cells
72,CD4 Memory T-Cells 
73,CD4 Naive and regulatory T-Cells
74,CD4 Naive and regulatory T-Cells
75,CD14 Monocytes
76,CD8 Naive T-cClls
77,Late Erythrocytes
78,NK Cells
79,Hematopoietic stem and progenitor cells (HSPC)
80,CD4 Memory T-Cells 
81,Early Erythroid Precursors
82,CD8 Memory T-Cells
83,CD4 Naive and regulatory T-Cells
84,CD4 Memory T-Cells 
85,CD14 Monocytes
86,CD4 Naive and regulatory T-Cells
87,CD8 Memory T-Cells
88,Late Erythrocytes
89,CD4 Naive and regulatory T-Cells
90,CD14 Monocytes
